Date,Symbol,Close Price,Avg Entry Price,Quantity,PnL
2025-01-14,KOTHARIPET.NS,178.46,187.95,25,-237.25
2025-01-14,KOTHARIPRO.NS,84.96,99.13,48,-680.16
2025-01-14,MANGCHEFER.NS,162.78,154.36,31,261.02
2025-01-14,MAZDA.NS,375.06,298.61,15,1146.75
2025-01-14,MONTECARLO.NS,674.8,810.82,6,-816.12
2025-01-14,NATIONALUM.NS,195.34,210.67,23,-352.59
2025-01-14,NAVA.NS,425.62,495.13,10,-695.1
2025-01-14,NITINSPIN.NS,400.9,433.95,11,-363.55
2025-01-14,RANEHOLDIN.NS,1675.1,1748.91,3,-221.43
2025-01-14,RPPINFRA.NS,176.66,194.0,25,-433.5
2025-01-14,SRHHYPOLTD.NS,720.2,778.5,6,-349.8
2025-01-14,SUKHJITS.NS,239.05,264.75,18,-462.6
2025-01-14,TGVSL.BO,101.2,104.5,47,-155.1
2025-01-14,VLSFINANCE.NS,299.9,334.58,14,-485.52
2025-01-14,WELCORP.NS,731.15,802.8,6,-429.9
2025-01-15,CEATLTD.NS,3056.45,3208.42,2,-303.94
2025-01-15,EIDPARRY.NS,820.8,868.5,5,-238.5
2025-01-15,EMPIND.BO,1091.35,1275.0,4,-734.6
2025-01-15,GHCL.NS,682.3,709.16,7,-188.02
2025-01-15,GICRE.NS,415.15,443.4,10,-282.5
2025-01-15,GSPL.NS,352.6,353.49,13,-11.57
2025-01-15,HIMATSEIDE.NS,177.41,185.88,26,-220.22
2025-01-15,HINDPETRO.NS,363.25,408.25,12,-540.0
2025-01-15,INDIAGLYCO.NS,1266.95,1254.65,4,49.2
2025-01-15,KOTHARIPET.NS,176.89,187.95,25,-276.5
2025-01-15,KOTHARIPRO.NS,85.61,99.13,48,-648.96
2025-01-15,MANGCHEFER.NS,165.15,154.36,31,334.49
2025-01-15,MAZDA.NS,370.83,298.61,15,1083.3
2025-01-15,MONTECARLO.NS,668.65,810.82,6,-853.02
2025-01-15,NATIONALUM.NS,191.13,210.67,23,-449.42
2025-01-15,NAVA.NS,436.92,495.13,10,-582.1
2025-01-15,NITINSPIN.NS,403.8,433.95,11,-331.65
2025-01-15,RANEHOLDIN.NS,1612.2,1748.91,3,-410.13
2025-01-15,RPPINFRA.NS,178.65,194.0,25,-383.75
2025-01-15,SRHHYPOLTD.NS,689.95,778.5,6,-531.3
2025-01-15,SUKHJITS.NS,243.45,264.75,18,-383.4
2025-01-15,TGVSL.BO,102.85,104.5,47,-77.55
2025-01-15,VLSFINANCE.NS,304.1,334.58,14,-426.72
2025-01-15,WELCORP.NS,760.4,802.8,6,-254.4
2025-01-16,CEATLTD.NS,3044.0,3208.42,2,-328.84
2025-01-16,EIDPARRY.NS,854.65,868.5,5,-69.25
2025-01-16,EMPIND.BO,1121.35,1275.0,4,-614.6
2025-01-16,GHCL.NS,679.55,709.16,7,-207.27
2025-01-16,GICRE.NS,430.4,443.4,10,-130.0
2025-01-16,GSPL.NS,350.95,353.49,13,-33.02
2025-01-16,HIMATSEIDE.NS,177.31,185.88,26,-222.82
2025-01-16,HINDPETRO.NS,358.2,408.25,12,-600.6
2025-01-16,INDIAGLYCO.NS,1276.1,1254.65,4,85.8
2025-01-16,KOTHARIPET.NS,177.05,187.95,25,-272.5
2025-01-16,KOTHARIPRO.NS,85.44,99.13,48,-657.12
2025-01-16,MANGCHEFER.NS,172.34,154.36,31,557.38
2025-01-16,MAZDA.NS,409.99,298.61,15,1670.7
2025-01-16,MONTECARLO.NS,674.95,810.82,6,-815.22
2025-01-16,NATIONALUM.NS,194.48,210.67,23,-372.37
2025-01-16,NAVA.NS,441.15,495.13,10,-539.8
2025-01-16,NITINSPIN.NS,399.4,433.95,11,-380.05
2025-01-16,RANEHOLDIN.NS,1637.9,1748.91,3,-333.03
